smiles,ames,source,split
O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,0.0,hansen,Train/Validation
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,0.0,hansen,Train/Validation
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1.0,hansen,Train/Validation
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0.0,hansen,Train/Validation
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1.0,hansen,Train/Validation
C[C@@H](O)CCC(=O)c1ccoc1,0.0,hansen,Train/Validation
Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C,0.0,hansen,Train/Validation
CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,1.0,hansen,Train/Validation
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@H]21,1.0,hansen,Train/Validation
CCN=NNCC,1.0,hansen,Train/Validation
c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1,1.0,hansen,Train/Validation
Oc1ccc2ccccc2c1N=Nc1ccccc1,1.0,hansen,Train/Validation
N[C@H]1CC[C@H](C[C@H]2CC[C@H](N)CC2)CC1,0.0,hansen,Train/Validation
COC(=O)C12CC1(C=O)C(C=O)=CC1CC(C)(C)CC12,1.0,hansen,Train/Validation
COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,0.0,hansen,Train/Validation
CCN(CCCl)CCCNc1c2c(nc3ccccc13)CCCC2,1.0,hansen,Train/Validation
CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,1.0,hansen,Train/Validation
CCO[P@](=S)(CC)Sc1ccccc1,0.0,hansen,Train/Validation
Cc1ccccc1C(=O)O,0.0,hansen,Train/Validation
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,0.0,hansen,Train/Validation
COCCl,0.0,hansen,Train/Validation
Nc1ccc(Nc2ccccc2)cc1,0.0,hansen,Train/Validation
CC(C)=CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,1.0,hansen,Train/Validation
Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1.0,hansen,Train/Validation
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1.0,hansen,Train/Validation
CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,0.0,hansen,Train/Validation
CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1.0,hansen,Train/Validation
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4,1.0,hansen,Train/Validation
O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,1.0,hansen,Train/Validation
Cc1cc(C)n(-c2[nH]nc(NN)c3c4ccccc4nc2-3)n1,0.0,hansen,Train/Validation
O=C(NC(S)c1nc2ccccc2s1)NC(S)c1nc2ccccc2s1,1.0,hansen,Train/Validation
O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O,0.0,hansen,Train/Validation
Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0.0,hansen,Train/Validation
CCCCN(COC(C)=O)N=O,1.0,hansen,Train/Validation
C1=Cc2ccc3nc4ccc5ccccc5c4cc3c2CC1,1.0,hansen,Train/Validation
CN(C)CCN(Cc1ccccc1)c1ccccn1,0.0,hansen,Train/Validation
C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1.0,hansen,Train/Validation
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.0,hansen,Train/Validation
CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,0.0,hansen,Train/Validation
O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,1.0,hansen,Train/Validation
CNC(=O)ON,1.0,hansen,Train/Validation
O=C(O)CC(=O)O,0.0,hansen,Train/Validation
CN(c1nccc(O)n1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,0.0,hansen,Train/Validation
CSC(C)(C)C(=O)NC(CS)C(=O)O,0.0,hansen,Train/Validation
[N-]=[N+]=NCC(O)C(O)C(O)C(O)C=O,1.0,hansen,Train/Validation
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0.0,hansen,Train/Validation
OCc1cc2ccc3cccc4ccc(c1)c2c34,1.0,hansen,Train/Validation
CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1,1.0,hansen,Train/Validation
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.0,hansen,Train/Validation
CC(=O)Nc1cc(N=[N+]([O-])c2ccc(C)c(NC(C)=O)c2)ccc1C,0.0,hansen,Train/Validation
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(=C(O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(N)=N1,0.0,hansen,Train/Validation
CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,1.0,hansen,Train/Validation
CN(C)N=Nc1ccc(C(=O)O)cc1,0.0,hansen,Train/Validation
CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC,0.0,hansen,Train/Validation
CC1(C)OC1COc1c2occc2cc2ccc(=O)oc12,0.0,hansen,Train/Validation
O=C(O)c1c(Cl)c(Cl)c(Cl)c2oc3c(Br)c(O)c(Br)cc3c(=O)c12,0.0,hansen,Train/Validation
CCCCN(N=O)C(=N)N[N+](=O)[O-],1.0,hansen,Train/Validation
OC1C2=C(C3OC3C1O)C1c3cccc4cccc(c34)C1C=C2,1.0,hansen,Train/Validation
C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,1.0,hansen,Train/Validation
CCCCC,0.0,hansen,Train/Validation
CC(C)CCOC(=O)/C=C\c1ccccc1,0.0,hansen,Train/Validation
Cc1cnc(S)nc1O,0.0,hansen,Train/Validation
CN(C[C@H](O)CO)N=O,1.0,hansen,Train/Validation
